Monitor Name,SN_NO,WE_Zero_elec_NO,WE_Zero_total_NO,AUX_Zero_elec_NO,AUX_Zero_total_NO,WE_sens_NO,WE_sens_NO_mv.ppb,sensor
MESA1,160260251,288,358,289,337,747,0.598,MESA1
MESA2,160260256,284,350,290,333,773,0.618,MESA2
MESA3,160260221,280,350,277,325,668,0.534,MESA3
MESA4,160260211,286,365,286,338,697,0.558,MESA4
MESA5,160260259,268,343,277,327,727,0.582,MESA5
MESA6,160260247,296,358,274,314,762,0.61,MESA6
MESA7,160260212,283,283,287,287,693,0.554,MESA7
MESA8,160260241,288,374,277,346,655,0.524,MESA8
MESA9,160260252,272,344,282,332,733,0.586,MESA9
MESA10,160260258,276,353,277,327,707,0.566,MESA10
MESA11,160260243,270,340,265,328,732,0.586,MESA11
MESA12,160260237,282,350,296,344,737,0.59,MESA12
MESA13,160260245,297,373,287,344,743,0.594,MESA13
MESA14,160260250,280,351,286,338,692,0.554,MESA14
MESA15,160260239,282,362,278,333,739,0.591,MESA15
MESA16,160260228,287,364,269,328,699,0.559,MESA16
MESA17,160260202,274,336,283,329,717,0.574,MESA17
MESA18,160260253,268,324,292,342,724,0.579,MESA18
MESA19,160260240,283,280,273,324,776,0.621,MESA19
MESA20,160260260,290,361,280,330,708,0.564,MESA20
MESA21,160260257,283,352,270,320,698,0.558,MESA21
MESA22,160260242,292,352,270,315,729,0.583,MESA22
MESA23,160260254,277,342,268,312,766,0.613,MESA23
MESA24,160260255,285,351,281,324,736,0.589,MESA24
MESA25,160260238,287,351,266,309,748,0.598,MESA25
MESA26,160260232,268,348,274,330,784,0.627,MESA26
MESA27,160260205,286,340,264,307,664,0.531,MESA27
MESA28,160260220,268,330,283,333,660,0.528,MESA28
MESA29,160260225,274,348,281,329,693,0.554,MESA29
MESA30,160260210,276,340,285,332,695,0.556,MESA30
MESA31,160260209,291,366,284,329,681,0.545,MESA31
MESA32,160260244,286,360,287,342,711,0.569,MESA32
MESA33,160260226,274,348,282,333,688,0.55,MESA33
MESA34,160260216,276,349,277,331,767,0.614,MESA34
MESA35,160260233,281,348,293,343,707,0.566,MESA35
MESA36,160260213,280,349,285,332,693,0.554,MESA36
MESA37,160260206,280,336,282,326,710,0.568,MESA37
MESA38,160260235,280,349,289,337,723,0.578,MESA38
MESA39,160260201,281,357,283,333,692,0.554,MESA39
MESA40,160260219,282,359,267,320,669,0.535,MESA40
